Subject,Age,Handedness,Sex,condition1correct,respond3.RT,respond3.ACC,Cue
1,25,right,male,Low-Shape-Mismatched,601,1,Alter_cue
1,25,right,male,Low-Shape-Matched,489,1,No_cue
1,25,right,male,High-shape_Matched,452,1,No_cue
1,25,right,male,High-shape_Mismatched,756,1,No_cue
1,25,right,male,Low-Shape-Matched,541,1,Alter_cue
1,25,right,male,High-shape_Matched,486,1,Alter_cue
1,25,right,male,High-shape_Matched,875,1,No_cue
1,25,right,male,High-shape_Matched,401,1,No_cue
1,25,right,male,Low-Shape-Matched,395,1,Alter_cue
1,25,right,male,High-shape_Matched,609,0,No_cue
1,25,right,male,High-shape_Mismatched,731,0,No_cue
1,25,right,male,High-shape_Mismatched,581,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,781,1,Alter_cue
1,25,right,male,Low-Shape-Matched,493,1,Alter_cue
1,25,right,male,Low-Shape-Matched,537,1,No_cue
1,25,right,male,High-shape_Matched,812,1,No_cue
1,25,right,male,High-shape_Mismatched,578,1,Alter_cue
1,25,right,male,High-shape_Mismatched,663,0,Alter_cue
1,25,right,male,Low-Shape-Matched,599,1,No_cue
1,25,right,male,High-shape_Matched,695,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,643,1,Alter_cue
1,25,right,male,High-shape_Matched,566,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,636,1,Alter_cue
1,25,right,male,Low-Shape-Matched,398,1,No_cue
1,25,right,male,High-shape_Matched,553,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,550,1,No_cue
1,25,right,male,High-shape_Matched,479,1,Alter_cue
1,25,right,male,High-shape_Mismatched,530,0,No_cue
1,25,right,male,Low-Shape-Mismatched,848,1,No_cue
1,25,right,male,Low-Shape-Mismatched,628,1,No_cue
1,25,right,male,High-shape_Mismatched,425,0,No_cue
1,25,right,male,Low-Shape-Matched,534,1,No_cue
1,25,right,male,High-shape_Matched,618,1,Alter_cue
1,25,right,male,High-shape_Mismatched,891,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,650,1,No_cue
1,25,right,male,High-shape_Matched,706,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,668,1,Alter_cue
1,25,right,male,Low-Shape-Matched,600,1,No_cue
1,25,right,male,High-shape_Mismatched,544,1,Alter_cue
1,25,right,male,High-shape_Mismatched,631,1,No_cue
1,25,right,male,High-shape_Mismatched,486,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,565,1,No_cue
1,25,right,male,High-shape_Matched,666,1,Alter_cue
1,25,right,male,High-shape_Mismatched,705,1,No_cue
1,25,right,male,Low-Shape-Mismatched,966,1,Alter_cue
1,25,right,male,High-shape_Mismatched,924,1,Alter_cue
1,25,right,male,High-shape_Matched,755,0,No_cue
1,25,right,male,High-shape_Mismatched,617,1,No_cue
1,25,right,male,High-shape_Matched,554,1,Alter_cue
1,25,right,male,High-shape_Mismatched,526,1,Alter_cue
1,25,right,male,High-shape_Matched,721,1,Alter_cue
1,25,right,male,High-shape_Mismatched,616,1,Alter_cue
1,25,right,male,Low-Shape-Matched,532,1,No_cue
1,25,right,male,High-shape_Mismatched,553,1,Alter_cue
1,25,right,male,Low-Shape-Matched,492,1,Alter_cue
1,25,right,male,High-shape_Mismatched,391,1,No_cue
1,25,right,male,Low-Shape-Mismatched,586,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,716,1,No_cue
1,25,right,male,High-shape_Mismatched,0,0,Alter_cue
1,25,right,male,Low-Shape-Matched,424,1,No_cue
1,25,right,male,High-shape_Mismatched,481,1,No_cue
1,25,right,male,High-shape_Mismatched,979,1,Alter_cue
1,25,right,male,High-shape_Matched,662,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,758,1,Alter_cue
1,25,right,male,High-shape_Mismatched,949,1,No_cue
1,25,right,male,Low-Shape-Mismatched,565,0,No_cue
1,25,right,male,Low-Shape-Matched,932,1,Alter_cue
1,25,right,male,High-shape_Mismatched,659,1,Alter_cue
1,25,right,male,Low-Shape-Matched,517,1,Alter_cue
1,25,right,male,High-shape_Mismatched,758,1,Alter_cue
1,25,right,male,Low-Shape-Matched,660,1,Alter_cue
1,25,right,male,High-shape_Matched,707,1,Alter_cue
1,25,right,male,High-shape_Mismatched,791,1,No_cue
1,25,right,male,Low-Shape-Mismatched,841,1,Alter_cue
1,25,right,male,Low-Shape-Matched,550,1,Alter_cue
1,25,right,male,Low-Shape-Matched,497,1,No_cue
1,25,right,male,High-shape_Matched,700,1,No_cue
1,25,right,male,Low-Shape-Mismatched,500,1,No_cue
1,25,right,male,High-shape_Matched,572,1,No_cue
1,25,right,male,High-shape_Mismatched,876,1,No_cue
1,25,right,male,Low-Shape-Mismatched,835,1,No_cue
1,25,right,male,Low-Shape-Matched,472,1,No_cue
1,25,right,male,Low-Shape-Matched,526,1,Alter_cue
1,25,right,male,Low-Shape-Matched,462,1,Alter_cue
1,25,right,male,High-shape_Matched,889,1,Alter_cue
1,25,right,male,High-shape_Matched,630,1,No_cue
1,25,right,male,Low-Shape-Matched,851,1,No_cue
1,25,right,male,Low-Shape-Matched,581,1,No_cue
1,25,right,male,High-shape_Matched,522,1,No_cue
1,25,right,male,High-shape_Mismatched,882,0,No_cue
1,25,right,male,Low-Shape-Mismatched,986,1,Alter_cue
1,25,right,male,High-shape_Matched,534,1,No_cue
1,25,right,male,Low-Shape-Matched,524,1,Alter_cue
1,25,right,male,High-shape_Mismatched,575,1,Alter_cue
1,25,right,male,Low-Shape-Matched,405,1,No_cue
1,25,right,male,High-shape_Matched,508,1,No_cue
1,25,right,male,High-shape_Mismatched,804,1,Alter_cue
1,25,right,male,High-shape_Mismatched,0,0,No_cue
1,25,right,male,Low-Shape-Mismatched,848,1,No_cue
3,24,right,female,High-shape_Matched,291,1,No_cue
3,24,right,female,Low-Shape-Matched,506,1,No_cue
3,24,right,female,Low-Shape-Matched,560,0,No_cue
3,24,right,female,Low-Shape-Matched,545,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,625,1,No_cue
3,24,right,female,High-shape_Matched,314,1,No_cue
3,24,right,female,Low-Shape-Mismatched,737,1,Alter_cue
3,24,right,female,High-shape_Matched,379,1,No_cue
3,24,right,female,Low-Shape-Mismatched,497,1,No_cue
3,24,right,female,Low-Shape-Mismatched,478,1,No_cue
3,24,right,female,Low-Shape-Matched,556,1,Alter_cue
3,24,right,female,High-shape_Matched,274,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,577,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,706,1,No_cue
3,24,right,female,Low-Shape-Matched,301,1,No_cue
3,24,right,female,Low-Shape-Matched,850,1,No_cue
3,24,right,female,High-shape_Mismatched,540,1,Alter_cue
3,24,right,female,Low-Shape-Matched,773,1,No_cue
3,24,right,female,Low-Shape-Matched,414,1,Alter_cue
3,24,right,female,Low-Shape-Matched,279,1,No_cue
3,24,right,female,High-shape_Matched,396,1,No_cue
3,24,right,female,Low-Shape-Mismatched,807,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,553,0,Alter_cue
3,24,right,female,High-shape_Mismatched,592,0,Alter_cue
3,24,right,female,Low-Shape-Matched,399,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,711,1,Alter_cue
3,24,right,female,High-shape_Mismatched,754,1,No_cue
3,24,right,female,Low-Shape-Matched,635,1,No_cue
3,24,right,female,High-shape_Matched,447,1,No_cue
3,24,right,female,Low-Shape-Matched,486,1,Alter_cue
3,24,right,female,High-shape_Matched,487,1,Alter_cue
3,24,right,female,High-shape_Mismatched,652,1,No_cue
3,24,right,female,High-shape_Matched,443,1,No_cue
3,24,right,female,High-shape_Mismatched,731,1,No_cue
3,24,right,female,Low-Shape-Matched,530,1,Alter_cue
3,24,right,female,High-shape_Mismatched,612,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,885,1,No_cue
3,24,right,female,Low-Shape-Matched,681,1,Alter_cue
3,24,right,female,High-shape_Mismatched,580,1,Alter_cue
3,24,right,female,Low-Shape-Matched,711,1,No_cue
3,24,right,female,Low-Shape-Mismatched,453,1,Alter_cue
3,24,right,female,Low-Shape-Matched,586,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,541,1,No_cue
3,24,right,female,Low-Shape-Mismatched,370,1,Alter_cue
3,24,right,female,High-shape_Mismatched,336,0,Alter_cue
3,24,right,female,High-shape_Mismatched,592,1,No_cue
3,24,right,female,Low-Shape-Matched,513,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,686,1,No_cue
3,24,right,female,Low-Shape-Mismatched,848,0,No_cue
3,24,right,female,Low-Shape-Mismatched,446,1,Alter_cue
3,24,right,female,High-shape_Matched,415,1,No_cue
3,24,right,female,Low-Shape-Mismatched,571,1,Alter_cue
3,24,right,female,High-shape_Mismatched,644,1,Alter_cue
3,24,right,female,Low-Shape-Matched,488,1,Alter_cue
3,24,right,female,Low-Shape-Matched,513,1,Alter_cue
3,24,right,female,High-shape_Matched,501,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,601,1,Alter_cue
3,24,right,female,High-shape_Mismatched,723,1,No_cue
3,24,right,female,Low-Shape-Matched,441,1,No_cue
3,24,right,female,High-shape_Mismatched,589,0,No_cue
3,24,right,female,Low-Shape-Matched,522,1,Alter_cue
3,24,right,female,High-shape_Matched,812,1,No_cue
3,24,right,female,Low-Shape-Matched,499,1,No_cue
3,24,right,female,Low-Shape-Matched,321,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,257,0,No_cue
3,24,right,female,High-shape_Matched,522,1,No_cue
3,24,right,female,High-shape_Mismatched,262,0,No_cue
3,24,right,female,High-shape_Matched,667,1,No_cue
3,24,right,female,Low-Shape-Mismatched,743,1,Alter_cue
3,24,right,female,High-shape_Mismatched,339,0,Alter_cue
3,24,right,female,Low-Shape-Matched,513,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,590,1,Alter_cue
3,24,right,female,High-shape_Mismatched,379,0,No_cue
3,24,right,female,Low-Shape-Mismatched,766,1,No_cue
3,24,right,female,High-shape_Mismatched,668,1,Alter_cue
3,24,right,female,Low-Shape-Matched,583,1,No_cue
3,24,right,female,High-shape_Matched,499,1,Alter_cue
3,24,right,female,Low-Shape-Matched,484,1,No_cue
3,24,right,female,Low-Shape-Mismatched,434,1,No_cue
3,24,right,female,Low-Shape-Matched,780,1,No_cue
3,24,right,female,High-shape_Matched,333,1,Alter_cue
3,24,right,female,High-shape_Mismatched,482,1,Alter_cue
3,24,right,female,High-shape_Matched,365,1,No_cue
3,24,right,female,Low-Shape-Matched,359,0,No_cue
3,24,right,female,Low-Shape-Matched,334,1,No_cue
3,24,right,female,High-shape_Mismatched,602,1,No_cue
3,24,right,female,High-shape_Matched,397,1,No_cue
3,24,right,female,High-shape_Matched,388,1,Alter_cue
3,24,right,female,High-shape_Mismatched,506,1,Alter_cue
3,24,right,female,Low-Shape-Matched,591,1,Alter_cue
3,24,right,female,High-shape_Matched,538,1,Alter_cue
3,24,right,female,High-shape_Matched,380,1,No_cue
3,24,right,female,Low-Shape-Matched,452,1,Alter_cue
3,24,right,female,High-shape_Mismatched,560,1,No_cue
3,24,right,female,Low-Shape-Mismatched,665,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,546,1,Alter_cue
3,24,right,female,High-shape_Matched,390,1,No_cue
3,24,right,female,Low-Shape-Matched,462,1,Alter_cue
3,24,right,female,High-shape_Matched,372,1,Alter_cue
3,24,right,female,High-shape_Matched,296,1,Alter_cue
3,24,right,female,High-shape_Mismatched,528,1,No_cue
3,24,right,female,Low-Shape-Mismatched,499,0,No_cue
3,24,right,female,High-shape_Matched,294,1,No_cue
3,24,right,female,High-shape_Mismatched,573,1,No_cue
3,24,right,female,Low-Shape-Mismatched,875,1,Alter_cue
3,24,right,female,High-shape_Mismatched,586,1,Alter_cue
3,24,right,female,Low-Shape-Matched,639,1,Alter_cue
3,24,right,female,High-shape_Mismatched,523,0,No_cue
3,24,right,female,High-shape_Matched,602,1,Alter_cue
3,24,right,female,Low-Shape-Matched,545,1,No_cue
3,24,right,female,Low-Shape-Matched,352,1,No_cue
3,24,right,female,High-shape_Mismatched,519,0,Alter_cue
3,24,right,female,Low-Shape-Mismatched,683,1,No_cue
3,24,right,female,High-shape_Mismatched,533,1,Alter_cue
3,24,right,female,High-shape_Matched,434,1,No_cue
3,24,right,female,High-shape_Matched,361,1,Alter_cue
3,24,right,female,Low-Shape-Matched,551,1,No_cue
3,24,right,female,Low-Shape-Mismatched,440,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,472,1,Alter_cue
3,24,right,female,High-shape_Mismatched,645,1,No_cue
3,24,right,female,Low-Shape-Matched,518,1,No_cue
3,24,right,female,High-shape_Mismatched,475,0,Alter_cue
3,24,right,female,Low-Shape-Matched,670,1,No_cue
3,24,right,female,High-shape_Matched,682,1,Alter_cue
3,24,right,female,High-shape_Matched,349,1,No_cue
3,24,right,female,High-shape_Mismatched,264,0,No_cue
3,24,right,female,Low-Shape-Mismatched,670,1,No_cue
3,24,right,female,Low-Shape-Matched,697,1,Alter_cue
3,24,right,female,Low-Shape-Matched,443,1,No_cue
3,24,right,female,Low-Shape-Matched,305,1,No_cue
3,24,right,female,High-shape_Matched,431,0,Alter_cue
3,24,right,female,High-shape_Matched,360,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,497,1,No_cue
3,24,right,female,High-shape_Matched,405,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,446,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,585,1,No_cue
3,24,right,female,High-shape_Mismatched,560,1,No_cue
3,24,right,female,High-shape_Matched,391,1,No_cue
3,24,right,female,High-shape_Mismatched,414,1,No_cue
3,24,right,female,High-shape_Matched,479,1,No_cue
3,24,right,female,High-shape_Matched,405,1,Alter_cue
3,24,right,female,Low-Shape-Matched,468,1,Alter_cue
3,24,right,female,Low-Shape-Matched,268,1,Alter_cue
3,24,right,female,High-shape_Matched,465,1,No_cue
3,24,right,female,Low-Shape-Mismatched,441,1,No_cue
3,24,right,female,High-shape_Mismatched,367,0,Alter_cue
3,24,right,female,Low-Shape-Mismatched,596,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,312,1,No_cue
3,24,right,female,High-shape_Mismatched,343,0,No_cue
3,24,right,female,High-shape_Matched,505,1,Alter_cue
3,24,right,female,High-shape_Mismatched,450,1,No_cue
3,24,right,female,High-shape_Matched,469,1,Alter_cue
3,24,right,female,High-shape_Mismatched,590,1,Alter_cue
3,24,right,female,High-shape_Mismatched,680,1,No_cue
3,24,right,female,Low-Shape-Matched,553,1,Alter_cue
3,24,right,female,High-shape_Mismatched,581,1,Alter_cue
3,24,right,female,High-shape_Matched,516,1,No_cue
3,24,right,female,Low-Shape-Matched,591,1,Alter_cue
3,24,right,female,High-shape_Mismatched,747,1,No_cue
3,24,right,female,Low-Shape-Mismatched,626,1,Alter_cue
3,24,right,female,High-shape_Mismatched,520,1,Alter_cue
3,24,right,female,High-shape_Matched,496,1,No_cue
3,24,right,female,Low-Shape-Matched,534,1,No_cue
3,24,right,female,High-shape_Matched,710,1,No_cue
3,24,right,female,High-shape_Matched,293,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,351,1,No_cue
3,24,right,female,High-shape_Matched,523,1,Alter_cue
3,24,right,female,High-shape_Matched,238,1,Alter_cue
3,24,right,female,High-shape_Mismatched,259,0,Alter_cue
3,24,right,female,Low-Shape-Mismatched,865,1,Alter_cue
3,24,right,female,High-shape_Mismatched,420,0,Alter_cue
3,24,right,female,High-shape_Matched,456,1,No_cue
3,24,right,female,High-shape_Mismatched,466,1,No_cue
3,24,right,female,Low-Shape-Mismatched,587,1,No_cue
3,24,right,female,High-shape_Matched,410,1,Alter_cue
3,24,right,female,High-shape_Mismatched,497,1,Alter_cue
3,24,right,female,High-shape_Matched,490,1,Alter_cue
3,24,right,female,High-shape_Mismatched,450,1,No_cue
3,24,right,female,Low-Shape-Matched,345,1,No_cue
3,24,right,female,Low-Shape-Mismatched,447,1,No_cue
3,24,right,female,Low-Shape-Mismatched,576,1,No_cue
3,24,right,female,High-shape_Mismatched,402,0,Alter_cue
3,24,right,female,Low-Shape-Mismatched,762,1,Alter_cue
3,24,right,female,High-shape_Mismatched,722,1,Alter_cue
3,24,right,female,High-shape_Mismatched,445,1,No_cue
3,24,right,female,High-shape_Matched,464,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,580,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,477,1,Alter_cue
3,24,right,female,Low-Shape-Matched,614,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,926,1,No_cue
3,24,right,female,High-shape_Mismatched,583,1,Alter_cue
3,24,right,female,Low-Shape-Mismatched,678,1,No_cue
5,25,right,female,High-shape_Matched,460,1,No_cue
5,25,right,female,High-shape_Matched,387,1,Alter_cue
5,25,right,female,High-shape_Mismatched,557,1,No_cue
5,25,right,female,High-shape_Matched,558,1,Alter_cue
5,25,right,female,Low-Shape-Matched,518,1,No_cue
5,25,right,female,High-shape_Mismatched,576,0,No_cue
5,25,right,female,Low-Shape-Mismatched,531,1,Alter_cue
5,25,right,female,High-shape_Matched,440,1,No_cue
5,25,right,female,Low-Shape-Mismatched,530,1,No_cue
5,25,right,female,High-shape_Mismatched,773,1,Alter_cue
5,25,right,female,High-shape_Matched,509,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,477,1,Alter_cue
5,25,right,female,Low-Shape-Matched,598,0,No_cue
5,25,right,female,High-shape_Matched,360,1,No_cue
5,25,right,female,High-shape_Mismatched,765,1,No_cue
5,25,right,female,Low-Shape-Mismatched,536,0,Alter_cue
5,25,right,female,Low-Shape-Matched,613,1,No_cue
5,25,right,female,Low-Shape-Matched,602,1,No_cue
5,25,right,female,Low-Shape-Matched,578,1,No_cue
5,25,right,female,High-shape_Mismatched,673,1,Alter_cue
5,25,right,female,High-shape_Mismatched,487,1,Alter_cue
5,25,right,female,Low-Shape-Matched,556,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,560,1,Alter_cue
5,25,right,female,Low-Shape-Matched,766,1,No_cue
5,25,right,female,Low-Shape-Mismatched,700,1,No_cue
5,25,right,female,High-shape_Matched,409,1,No_cue
5,25,right,female,Low-Shape-Matched,567,1,Alter_cue
5,25,right,female,High-shape_Matched,501,1,Alter_cue
5,25,right,female,High-shape_Mismatched,460,1,No_cue
5,25,right,female,Low-Shape-Matched,551,1,No_cue
5,25,right,female,High-shape_Mismatched,565,1,Alter_cue
5,25,right,female,High-shape_Matched,495,1,Alter_cue
5,25,right,female,High-shape_Mismatched,729,1,No_cue
5,25,right,female,Low-Shape-Matched,543,1,Alter_cue
5,25,right,female,High-shape_Matched,562,1,Alter_cue
5,25,right,female,High-shape_Matched,473,1,No_cue
5,25,right,female,High-shape_Mismatched,637,1,Alter_cue
5,25,right,female,High-shape_Matched,418,1,Alter_cue
5,25,right,female,Low-Shape-Matched,538,1,Alter_cue
5,25,right,female,High-shape_Mismatched,562,1,No_cue
5,25,right,female,Low-Shape-Matched,419,1,No_cue
5,25,right,female,High-shape_Mismatched,730,1,Alter_cue
5,25,right,female,Low-Shape-Matched,443,1,No_cue
5,25,right,female,Low-Shape-Mismatched,736,1,Alter_cue
5,25,right,female,High-shape_Matched,453,1,Alter_cue
5,25,right,female,High-shape_Matched,657,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,488,1,No_cue
5,25,right,female,Low-Shape-Mismatched,395,0,No_cue
5,25,right,female,High-shape_Mismatched,532,0,Alter_cue
5,25,right,female,Low-Shape-Matched,582,1,Alter_cue
5,25,right,female,Low-Shape-Matched,602,1,Alter_cue
5,25,right,female,High-shape_Matched,543,1,Alter_cue
5,25,right,female,High-shape_Mismatched,534,1,No_cue
5,25,right,female,Low-Shape-Matched,637,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,533,1,Alter_cue
5,25,right,female,Low-Shape-Matched,551,1,No_cue
5,25,right,female,Low-Shape-Mismatched,536,1,No_cue
5,25,right,female,Low-Shape-Matched,519,1,Alter_cue
5,25,right,female,High-shape_Matched,443,1,No_cue
5,25,right,female,High-shape_Mismatched,493,1,Alter_cue
5,25,right,female,High-shape_Mismatched,528,1,Alter_cue
5,25,right,female,High-shape_Matched,399,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,891,1,No_cue
5,25,right,female,Low-Shape-Mismatched,579,1,No_cue
5,25,right,female,Low-Shape-Mismatched,809,1,No_cue
5,25,right,female,High-shape_Mismatched,484,0,No_cue
5,25,right,female,High-shape_Matched,505,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,470,1,No_cue
5,25,right,female,Low-Shape-Matched,428,1,No_cue
5,25,right,female,Low-Shape-Matched,548,1,No_cue
5,25,right,female,High-shape_Matched,456,1,Alter_cue
5,25,right,female,High-shape_Mismatched,596,1,No_cue
5,25,right,female,Low-Shape-Mismatched,534,1,No_cue
5,25,right,female,High-shape_Mismatched,667,1,No_cue
5,25,right,female,High-shape_Matched,417,1,No_cue
5,25,right,female,High-shape_Matched,452,1,No_cue
5,25,right,female,Low-Shape-Matched,503,1,No_cue
5,25,right,female,High-shape_Matched,479,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,497,1,No_cue
5,25,right,female,High-shape_Matched,518,1,No_cue
5,25,right,female,Low-Shape-Mismatched,553,1,Alter_cue
5,25,right,female,Low-Shape-Matched,518,1,No_cue
5,25,right,female,High-shape_Matched,396,1,Alter_cue
5,25,right,female,High-shape_Matched,394,1,No_cue
5,25,right,female,High-shape_Mismatched,496,1,Alter_cue
5,25,right,female,High-shape_Mismatched,541,0,Alter_cue
5,25,right,female,Low-Shape-Matched,753,1,No_cue
5,25,right,female,Low-Shape-Matched,528,1,No_cue
5,25,right,female,Low-Shape-Matched,376,1,Alter_cue
5,25,right,female,High-shape_Mismatched,636,1,No_cue
5,25,right,female,Low-Shape-Mismatched,622,1,Alter_cue
5,25,right,female,Low-Shape-Mismatched,466,1,No_cue
5,25,right,female,High-shape_Mismatched,353,0,No_cue
5,25,right,female,High-shape_Mismatched,558,1,No_cue
5,25,right,female,High-shape_Matched,535,1,No_cue
5,25,right,female,Low-Shape-Mismatched,512,1,No_cue
