Subject,Session,Matchness,Identity,Trialtype,RT,ACC
1,1,Match,Stranger,exp,0.5036,1
1,1,Match,Stranger,exp,0.66,1
1,1,Match,Stranger,exp,0.5611,1
1,1,Match,Stranger,exp,0.5457,0
1,1,Match,Stranger,exp,0.4606,1
1,1,Match,Stranger,exp,0.7574,1
1,1,Match,Stranger,exp,0.758,0
1,1,Match,Stranger,exp,0.5848,1
1,1,Match,Stranger,exp,0.5994,1
1,1,Match,Stranger,exp,0.7267,0
1,1,Match,Stranger,exp,0.715,0
1,1,Match,Stranger,exp,0.5065,1
1,1,Match,Stranger,exp,0.6516,1
1,1,Match,Stranger,exp,0.106,1
1,1,Match,Stranger,exp,0.5537,1
1,1,Match,Stranger,exp,0.8126,1
1,1,Match,Stranger,exp,0.7052,1
1,1,Match,Stranger,exp,0.6761,1
1,1,Match,Stranger,exp,0.6537,1
1,1,Match,Stranger,exp,0.7093,1
1,1,Match,Stranger,exp,0.7464,1
1,1,Match,Stranger,exp,0.7354,0
1,1,Match,Stranger,exp,0.481,1
1,1,Match,Stranger,exp,0.4089,1
1,1,Match,Stranger,exp,0.7388,1
1,1,Match,Stranger,exp,0.6323,1
1,1,Match,Stranger,exp,0.5731,1
1,1,Match,Stranger,exp,0.592,1
1,1,Match,Stranger,exp,0.9352,-1
1,1,Match,Stranger,exp,1.085,0
1,1,Match,Stranger,exp,0.5387,1
1,1,Match,Stranger,exp,0.7277,0
1,1,Match,Stranger,exp,0.6241,0
1,1,Match,Stranger,exp,1.085,1
1,1,Match,Stranger,exp,0.7645,1
1,1,Match,Stranger,exp,0.5805,1
1,1,Match,Stranger,exp,1.0213,0
1,1,Match,Stranger,exp,0.5734,-1
1,1,Match,Stranger,exp,0.7321,1
1,1,Match,Stranger,exp,0.8461,1
1,1,Match,Stranger,exp,0.7407,1
1,1,Match,Stranger,exp,0.751,1
1,1,Match,Stranger,exp,0.6557,1
1,1,Match,Stranger,exp,0.7334,1
1,1,Match,Stranger,exp,0.6751,0
1,1,Match,Stranger,exp,0.6267,1
1,1,Match,Stranger,exp,0.7594,1
1,1,Match,Stranger,exp,0.8292,1
1,1,Match,Stranger,exp,1.03,0
1,1,Match,Stranger,exp,0.723,1
1,1,Match,Stranger,exp,0.9882,1
1,1,Match,Stranger,exp,0.4949,1
1,1,Match,Stranger,exp,0.5514,1
1,1,Match,Stranger,exp,0.733,1
1,1,Match,Stranger,exp,0.7609,1
1,1,Match,Stranger,exp,0.8021,0
1,1,Match,Stranger,exp,0.6448,1
1,1,Match,Stranger,exp,0.843,1
1,1,Match,Stranger,exp,0.7421,0
1,1,Nonmatch,Self,prac,0.7463,1
1,1,Nonmatch,Self,prac,0.5894,1
1,1,Nonmatch,Self,prac,0.6793,1
1,1,Nonmatch,Self,prac,0.7527,0
1,1,Nonmatch,Self,exp,0.5477,1
1,1,Nonmatch,Self,exp,0.8491,1
1,1,Nonmatch,Self,exp,0.6659,1
1,1,Nonmatch,Self,exp,0.8767,1
1,1,Nonmatch,Self,exp,0.8844,0
1,1,Nonmatch,Self,exp,0.5686,0
1,1,Nonmatch,Self,exp,0.6487,0
1,1,Nonmatch,Self,exp,0.5004,1
1,1,Nonmatch,Self,exp,0.8914,1
1,1,Nonmatch,Self,exp,0.824,1
1,1,Nonmatch,Self,exp,0.751,1
1,1,Nonmatch,Self,exp,0.6631,1
1,1,Nonmatch,Self,exp,0.6821,-1
1,1,Nonmatch,Self,exp,0.6565,1
1,1,Nonmatch,Self,exp,0.65,1
1,1,Nonmatch,Self,exp,0.4568,1
1,1,Nonmatch,Self,exp,0.7753,1
1,1,Nonmatch,Self,exp,0.9469,1
1,1,Nonmatch,Self,exp,0.5784,1
1,1,Nonmatch,Self,exp,0.7177,1
1,1,Nonmatch,Self,exp,0.7264,1
1,1,Nonmatch,Self,exp,0.8305,1
1,1,Nonmatch,Self,exp,0.5976,1
1,1,Nonmatch,Self,exp,0.7688,1
1,1,Nonmatch,Self,exp,0.7516,0
1,1,Nonmatch,Self,exp,0.6279,1
1,1,Nonmatch,Self,exp,0.6316,1
1,1,Nonmatch,Self,exp,0.7119,1
1,1,Nonmatch,Self,exp,0.5751,0
1,1,Nonmatch,Self,exp,0.809,1
1,1,Nonmatch,Self,exp,0.4669,0
1,1,Nonmatch,Self,exp,0.6499,0
1,1,Nonmatch,Self,exp,0.6462,1
1,1,Nonmatch,Self,exp,0.8364,1
1,1,Nonmatch,Self,exp,0.8313,1
1,1,Nonmatch,Self,exp,0.592,1
1,1,Nonmatch,Self,exp,0.6409,1
1,1,Nonmatch,Self,exp,0.8133,1
1,1,Nonmatch,Self,exp,0.8027,1
1,1,Nonmatch,Self,exp,0.6774,1
1,1,Nonmatch,Self,exp,0.7252,1
1,1,Nonmatch,Self,exp,1.0662,1
1,1,Nonmatch,Self,exp,0.584,1
1,1,Nonmatch,Self,exp,0.7085,1
1,1,Nonmatch,Self,exp,0.6784,1
1,1,Nonmatch,Self,exp,0.724,1
1,1,Nonmatch,Self,exp,0.7461,1
1,1,Nonmatch,Self,exp,0.5881,1
1,1,Nonmatch,Self,exp,0.6905,1
1,1,Nonmatch,Self,exp,0.8557,1
1,1,Nonmatch,Self,exp,0.7216,1
1,1,Nonmatch,Self,exp,0.5408,1
1,1,Nonmatch,Self,exp,0.5699,1
1,1,Nonmatch,Self,exp,0.5706,1
1,1,Nonmatch,Self,exp,0.6039,1
1,1,Nonmatch,Self,exp,0.5595,1
1,1,Nonmatch,Self,exp,0.7513,0
1,1,Nonmatch,Self,exp,0.79990000000000006,1
1,1,Nonmatch,Self,exp,0.5902,1
1,1,Nonmatch,Self,exp,0.6881,1
1,1,Nonmatch,Friend,prac,0.9293,1
1,1,Nonmatch,Friend,prac,0.7277,1
1,1,Nonmatch,Friend,prac,0.9673,1
1,1,Nonmatch,Friend,prac,0.75,0
1,1,Nonmatch,Friend,exp,0.696,0
1,1,Nonmatch,Friend,exp,0.7933,1
1,1,Nonmatch,Friend,exp,0.8048,1
1,1,Nonmatch,Friend,exp,0.5754,1
1,1,Nonmatch,Friend,exp,0.7413,1
1,1,Nonmatch,Friend,exp,0.5254,0
1,1,Nonmatch,Friend,exp,0.4779,1
1,1,Nonmatch,Friend,exp,0.6753,0
1,1,Nonmatch,Friend,exp,0.6978,1
1,1,Nonmatch,Friend,exp,0.7171,0
1,1,Nonmatch,Friend,exp,0.7639,1
1,1,Nonmatch,Friend,exp,0.6251,1
1,1,Nonmatch,Friend,exp,0.9316,1
1,1,Nonmatch,Friend,exp,0.7332,1
1,1,Nonmatch,Friend,exp,0.5814,1
1,1,Nonmatch,Friend,exp,0.6342,1
1,1,Nonmatch,Friend,exp,0.5921,1
1,1,Nonmatch,Friend,exp,0.5583,1
1,1,Nonmatch,Friend,exp,0.8051,1
1,1,Nonmatch,Friend,exp,0.584,0
1,1,Nonmatch,Friend,exp,0.7034,1
1,1,Nonmatch,Friend,exp,0.5968,1
1,1,Nonmatch,Friend,exp,0.4951,1
1,1,Nonmatch,Friend,exp,0.7772,1
1,1,Nonmatch,Friend,exp,0.7592,1
1,1,Nonmatch,Friend,exp,0.7935,1
1,1,Nonmatch,Friend,exp,0.5043,1
1,1,Nonmatch,Friend,exp,0.6293,1
1,1,Nonmatch,Friend,exp,0.6666,1
1,1,Nonmatch,Friend,exp,0.9008,0
1,1,Nonmatch,Friend,exp,0.4935,1
1,1,Nonmatch,Friend,exp,0.8011,1
1,1,Nonmatch,Friend,exp,1.0841,1
1,1,Nonmatch,Friend,exp,0.765,0
1,1,Nonmatch,Friend,exp,0.9597,0
1,1,Nonmatch,Friend,exp,0.5986,1
1,1,Nonmatch,Friend,exp,0.6172,1
1,1,Nonmatch,Friend,exp,0.806,1
1,1,Nonmatch,Friend,exp,0.733,1
1,1,Nonmatch,Friend,exp,0.5014,1
1,1,Nonmatch,Friend,exp,0.5614,1
1,1,Nonmatch,Friend,exp,0.6232,1
1,1,Nonmatch,Friend,exp,0.6177,0
1,1,Nonmatch,Friend,exp,0.8138,1
1,1,Nonmatch,Friend,exp,0.7642,1
1,1,Nonmatch,Friend,exp,0.9375,1
1,1,Nonmatch,Friend,exp,0.6091,0
1,1,Nonmatch,Friend,exp,0.6927,1
1,1,Nonmatch,Friend,exp,0.5493,0
1,1,Nonmatch,Friend,exp,0.8763,1
1,1,Nonmatch,Friend,exp,0.5266,0
1,1,Nonmatch,Friend,exp,0.6789,1
1,1,Nonmatch,Friend,exp,0.9917,1
1,1,Nonmatch,Friend,exp,0.6464,1
1,1,Nonmatch,Friend,exp,0.7005,1
1,1,Nonmatch,Friend,exp,0.7958,1
1,1,Nonmatch,Friend,exp,0.724,1
1,1,Nonmatch,Friend,exp,0.6266,1
1,1,Nonmatch,Friend,exp,0.6194,1
1,1,Nonmatch,Friend,exp,0.5792,1
1,1,Nonmatch,Stranger,prac,0.5829,1
1,1,Nonmatch,Stranger,prac,0.7082,1
1,1,Nonmatch,Stranger,prac,0.8326,1
1,1,Nonmatch,Stranger,prac,0.8084,1
1,1,Nonmatch,Stranger,exp,0.6243,1
1,1,Nonmatch,Stranger,exp,0.901,1
1,1,Nonmatch,Stranger,exp,0.7407,0
1,1,Nonmatch,Stranger,exp,0.512,1
1,1,Nonmatch,Stranger,exp,0.8762,1
1,1,Nonmatch,Stranger,exp,0.6924,1
1,1,Nonmatch,Stranger,exp,1.1081,1
1,1,Nonmatch,Stranger,exp,0.639,0
1,1,Nonmatch,Stranger,exp,1.0731,1
1,1,Nonmatch,Stranger,exp,0.7578,1
1,1,Nonmatch,Stranger,exp,0.9057,0
1,1,Nonmatch,Stranger,exp,0.8464,1
1,1,Nonmatch,Stranger,exp,0.4478,1
1,1,Nonmatch,Stranger,exp,0.8645,1
1,1,Nonmatch,Stranger,exp,0.6295,1
1,1,Nonmatch,Stranger,exp,0.735,1
1,1,Nonmatch,Stranger,exp,0.4511,1
1,1,Nonmatch,Stranger,exp,0.525,1
1,1,Nonmatch,Stranger,exp,0.6661,1
1,1,Nonmatch,Stranger,exp,0.6536,1
1,1,Nonmatch,Stranger,exp,0.5479,1
1,1,Nonmatch,Stranger,exp,0.7175,1
1,1,Nonmatch,Stranger,exp,0.7333,1
1,1,Nonmatch,Stranger,exp,0.8898,0
1,1,Nonmatch,Stranger,exp,1.0841,1
1,1,Nonmatch,Stranger,exp,0.4915,0
1,1,Nonmatch,Stranger,exp,0.5871,1
1,1,Nonmatch,Stranger,exp,0.6183,1
1,1,Nonmatch,Stranger,exp,0.753,1
1,1,Nonmatch,Stranger,exp,0.8108,1
1,1,Nonmatch,Stranger,exp,1.1081,-1
1,1,Nonmatch,Stranger,exp,0.5521,1
1,1,Nonmatch,Stranger,exp,1.0841,1
1,1,Nonmatch,Stranger,exp,0.7971,1
1,1,Nonmatch,Stranger,exp,1.092,1
1,1,Nonmatch,Stranger,exp,0.9183,1
1,1,Nonmatch,Stranger,exp,0.7717,0
1,1,Nonmatch,Stranger,exp,0.6197,1
1,1,Nonmatch,Stranger,exp,0.6393,1
1,1,Nonmatch,Stranger,exp,0.6393,0
1,1,Nonmatch,Stranger,exp,0.7245,1
1,1,Nonmatch,Stranger,exp,0.5283,0
1,1,Nonmatch,Stranger,exp,0.9242,1
1,1,Nonmatch,Stranger,exp,0.348,1
1,1,Nonmatch,Stranger,exp,0.7236,0
1,1,Nonmatch,Stranger,exp,1.0231,1
1,1,Nonmatch,Stranger,exp,0.6158,1
1,1,Nonmatch,Stranger,exp,0.7423,0
1,1,Nonmatch,Stranger,exp,0.7917,0
1,1,Nonmatch,Stranger,exp,0.5429,1
1,1,Nonmatch,Stranger,exp,0.6422,1
1,1,Nonmatch,Stranger,exp,0.6194,1
1,1,Nonmatch,Stranger,exp,0.6527,1
1,1,Nonmatch,Stranger,exp,0.7199,1
1,1,Nonmatch,Stranger,exp,0.688,0
1,1,Nonmatch,Stranger,exp,0.836,1
1,1,Nonmatch,Stranger,exp,0.7773,1
1,1,Nonmatch,Stranger,exp,0.8914,1
1,1,Nonmatch,Stranger,exp,0.6809,0
1,1,Nonmatch,Stranger,exp,0.6291,1
1,2,Match,Self,prac,1.1561,1
1,2,Match,Self,prac,0.5911,0
1,2,Match,Self,prac,0.7132,1
1,2,Match,Self,prac,0.5475,0
1,2,Match,Self,exp,0.5957,1
1,2,Match,Self,exp,0.7345,1
1,2,Match,Self,exp,0.6125,1
1,2,Match,Self,exp,0.9031,1
1,2,Match,Self,exp,0.5861,1
1,2,Match,Self,exp,0.6525,1
1,2,Match,Self,exp,0.5193,1
1,2,Match,Self,exp,0.6684,1
1,2,Match,Self,exp,0.7103,1
1,2,Match,Self,exp,0.7027,1
1,2,Match,Self,exp,0.9397,1
1,2,Match,Self,exp,0.5138,1
1,2,Match,Self,exp,0.5238,1
1,2,Match,Self,exp,0.7739,1
1,2,Match,Self,exp,0.5853,1
1,2,Match,Self,exp,0.7136,1
1,2,Match,Self,exp,0.4828,1
1,2,Match,Self,exp,1.0037,1
1,2,Match,Self,exp,0.7378,1
1,2,Match,Self,exp,0.7739,0
1,2,Match,Self,exp,0.6434,0
1,2,Match,Self,exp,0.7765,1
1,2,Match,Self,exp,0.5306,0
1,2,Match,Self,exp,1.0626,1
1,2,Match,Self,exp,0.6371,1
1,2,Match,Self,exp,0.935,1
1,2,Match,Self,exp,0.7347,1
1,2,Match,Self,exp,0.5763,1
1,2,Match,Self,exp,0.6845,1
1,2,Match,Self,exp,0.7275,1
1,2,Match,Self,exp,0.5807,1
1,2,Match,Self,exp,0.6278,1
1,2,Match,Self,exp,1.085,1
1,2,Match,Self,exp,0.9044,1
1,2,Match,Self,exp,0.6385,1
1,2,Match,Self,exp,0.6179,1
1,2,Match,Self,exp,0.861,1
1,2,Match,Self,exp,0.4811,1
1,2,Match,Self,exp,0.7132,0
1,2,Match,Self,exp,0.5464,0
1,2,Match,Self,exp,0.5544,1
1,2,Match,Self,exp,0.6388,1
1,2,Match,Self,exp,0.6218,1
1,2,Match,Self,exp,0.6535,1
1,2,Match,Self,exp,0.6163,1
1,2,Match,Self,exp,0.5582,1
1,2,Match,Self,exp,0.699,1
1,2,Match,Self,exp,0.7329,1
1,2,Match,Self,exp,0.7276,1
1,2,Match,Self,exp,0.6533,1
1,2,Match,Self,exp,1.085,1
1,2,Match,Self,exp,0.8104,1
1,2,Match,Self,exp,0.5706,1
1,2,Match,Self,exp,1.0642,1
1,2,Match,Self,exp,1.0474,1
1,2,Match,Self,exp,0.8577,1
1,2,Match,Self,exp,0.5156,1
1,2,Match,Self,exp,0.7386,1
1,2,Match,Self,exp,0.8867,1
1,2,Match,Self,exp,0.6423,1
1,2,Match,Friend,prac,0.5661,1
1,2,Match,Friend,prac,0.5494,1
1,2,Match,Friend,prac,0.6941,1
1,2,Match,Friend,prac,0.5109,1
1,2,Match,Friend,exp,0.6431,1
1,2,Match,Friend,exp,0.7616,1
1,2,Match,Friend,exp,0.8687,1
1,2,Match,Friend,exp,0.4355,1
1,2,Match,Friend,exp,0.4931,1
1,2,Match,Friend,exp,0.7072,1
1,2,Match,Friend,exp,0.7517,1
1,2,Match,Friend,exp,0.8186,1
1,2,Match,Friend,exp,0.8153,1
1,2,Match,Friend,exp,0.8901,1
1,2,Match,Friend,exp,0.7175,1
1,2,Match,Friend,exp,0.5391,-1
1,2,Match,Friend,exp,0.4989,1
1,2,Match,Friend,exp,0.5164,1
1,2,Match,Friend,exp,0.5708,1
1,2,Match,Friend,exp,1.0286,1
1,2,Match,Friend,exp,0.7287,1
1,2,Match,Friend,exp,0.7641,-1
1,2,Match,Friend,exp,0.7678,1
1,2,Match,Friend,exp,0.7491,1
1,2,Match,Friend,exp,0.7459,1
1,2,Match,Friend,exp,0.7602,1
1,2,Match,Friend,exp,0.785,1
1,2,Match,Friend,exp,0.7005,1
1,2,Match,Friend,exp,1.0841,1
1,2,Match,Friend,exp,0.7228,1
1,2,Match,Friend,exp,0.5348,0
1,2,Match,Friend,exp,0.6479,1
1,2,Match,Friend,exp,0.8397,-1
1,2,Match,Friend,exp,0.5107,1
1,2,Match,Friend,exp,0.6853,0
1,2,Match,Friend,exp,0.5436,1
1,2,Match,Friend,exp,0.4438,1
1,2,Match,Friend,exp,0.6117,1
1,2,Match,Friend,exp,0.5165,1
1,2,Match,Friend,exp,0.8606,1
1,2,Match,Friend,exp,0.6376,1
1,2,Match,Friend,exp,0.6366,1
1,2,Match,Friend,exp,0.8116,1
1,2,Match,Friend,exp,0.5096,1
1,2,Match,Friend,exp,0.6298,1
1,2,Match,Friend,exp,0.7115,1
1,2,Match,Friend,exp,0.6038,1
1,2,Match,Friend,exp,0.5814,0
1,2,Match,Friend,exp,0.4736,1
1,2,Match,Friend,exp,0.6453,1
1,2,Match,Friend,exp,0.5353,1
1,2,Match,Friend,exp,0.5561,1
1,2,Match,Friend,exp,0.5588,0
1,2,Match,Friend,exp,0.6045,-1
1,2,Match,Friend,exp,0.6865,0
1,2,Match,Friend,exp,0.5341,1
1,2,Match,Friend,exp,0.7508,-1
1,2,Match,Friend,exp,0.9148,1
1,2,Match,Friend,exp,1.0841,0
1,2,Match,Friend,exp,0.1061,1
1,2,Match,Friend,exp,0.4141,1
1,2,Match,Friend,exp,0.5844,1
1,2,Match,Friend,exp,0.5958,1
1,2,Match,Friend,exp,0.8264,1
1,2,Match,Stranger,prac,0.6597,1
1,2,Match,Stranger,prac,0.7651,1
1,2,Match,Stranger,prac,0.6964,0
1,2,Match,Stranger,prac,0.7571,1
1,2,Match,Stranger,exp,0.3861,1
1,2,Match,Stranger,exp,0.7612,1
1,2,Match,Stranger,exp,0.4709,1
1,2,Match,Stranger,exp,1.1081,1
1,2,Match,Stranger,exp,0.846,2
1,2,Match,Stranger,exp,0.6414,1
1,2,Match,Stranger,exp,0.5277,1
1,2,Match,Stranger,exp,0.794,1
1,2,Match,Stranger,exp,0.7372,1
1,2,Match,Stranger,exp,0.7273,1
1,2,Match,Stranger,exp,0.7523,1
1,2,Match,Stranger,exp,0.5827,0
1,2,Match,Stranger,exp,0.8005,1
1,2,Match,Stranger,exp,0.7091,1
1,2,Match,Stranger,exp,0.6154,0
1,2,Match,Stranger,exp,0.5455,1
1,2,Match,Stranger,exp,0.5511,1
1,2,Match,Stranger,exp,0.4514,1
1,2,Match,Stranger,exp,0.6421,0
1,2,Match,Stranger,exp,0.8554,1
1,2,Match,Stranger,exp,0.4511,1
1,2,Match,Stranger,exp,0.6665,1
1,2,Match,Stranger,exp,0.5252,0
1,2,Match,Stranger,exp,0.6988,1
1,2,Match,Stranger,exp,0.6803,1
1,2,Match,Stranger,exp,0.5998,1
1,2,Match,Stranger,exp,0.6459,1
1,2,Match,Stranger,exp,0.9098,1
1,2,Match,Stranger,exp,0.7505,0
1,2,Match,Stranger,exp,0.5314,1
1,2,Match,Stranger,exp,0.6077,1
1,2,Match,Stranger,exp,0.7369,1
1,2,Match,Stranger,exp,0.7602,1
1,2,Match,Stranger,exp,0.6686,1
1,2,Match,Stranger,exp,0.7366,1
1,2,Match,Stranger,exp,0.8008,1
1,2,Match,Stranger,exp,0.682,1
1,2,Match,Stranger,exp,0.6447,1
1,2,Match,Stranger,exp,0.5996,1
1,2,Match,Stranger,exp,0.6881,0
1,2,Match,Stranger,exp,0.5639,1
1,2,Match,Stranger,exp,0.6006,1
1,2,Match,Stranger,exp,0.6471,1
1,2,Match,Stranger,exp,0.5363,1
1,2,Match,Stranger,exp,0.5353,1
1,2,Match,Stranger,exp,0.5925,1
1,2,Match,Stranger,exp,0.8044,1
1,2,Match,Stranger,exp,0.6566,1
1,2,Match,Stranger,exp,0.9949,1
1,2,Match,Stranger,exp,0.7174,1
1,2,Match,Stranger,exp,0.6587,1
1,2,Match,Stranger,exp,0.6713,1
1,2,Match,Stranger,exp,0.5665,1
1,2,Match,Stranger,exp,0.6154,0
1,2,Match,Stranger,exp,0.4203,1
1,2,Match,Stranger,exp,0.8046,1
1,2,Match,Stranger,exp,0.7726,0
1,2,Match,Stranger,exp,0.8112,0
1,2,Match,Stranger,exp,0.6984,1
1,2,Match,Stranger,exp,0.5545,1
1,2,Nonmatch,Self,prac,0.8123,1
1,2,Nonmatch,Self,prac,0.9111,1
1,2,Nonmatch,Self,prac,0.7583,1
1,2,Nonmatch,Self,prac,0.7882,1
1,2,Nonmatch,Self,exp,0.3737,1
1,2,Nonmatch,Self,exp,0.8879,0
1,2,Nonmatch,Self,exp,0.5882,1
1,2,Nonmatch,Self,exp,0.7697,1
1,2,Nonmatch,Self,exp,0.61,1
1,2,Nonmatch,Self,exp,0.6526,1
1,2,Nonmatch,Self,exp,0.5748,1
1,2,Nonmatch,Self,exp,0.5251,1
1,2,Nonmatch,Self,exp,1.0304,1
1,2,Nonmatch,Self,exp,0.7842,0
1,2,Nonmatch,Self,exp,0.7549,1
1,2,Nonmatch,Self,exp,0.5779,1
1,2,Nonmatch,Self,exp,0.5186,1
1,2,Nonmatch,Self,exp,0.8289,1
1,2,Nonmatch,Self,exp,0.4949,1
1,2,Nonmatch,Self,exp,0.7081,1
1,2,Nonmatch,Self,exp,0.5906,1
1,2,Nonmatch,Self,exp,0.7053,0
1,2,Nonmatch,Self,exp,0.6701,1
1,2,Nonmatch,Self,exp,0.8498,1
1,2,Nonmatch,Self,exp,0.497,1
1,2,Nonmatch,Self,exp,0.7386,1
1,2,Nonmatch,Self,exp,0.6872,1
1,2,Nonmatch,Self,exp,0.749,1
1,2,Nonmatch,Self,exp,0.8293,1
1,2,Nonmatch,Self,exp,0.6563,1
1,2,Nonmatch,Self,exp,0.6251,1
1,2,Nonmatch,Self,exp,0.8721,1
1,2,Nonmatch,Self,exp,0.5011,1
1,2,Nonmatch,Self,exp,0.5399,1
1,2,Nonmatch,Self,exp,0.7692,0
1,2,Nonmatch,Self,exp,0.8956,1
1,2,Nonmatch,Self,exp,0.6804,1
1,2,Nonmatch,Self,exp,0.6805,1
1,2,Nonmatch,Self,exp,0.7396,1
1,2,Nonmatch,Self,exp,0.6206,1
1,2,Nonmatch,Self,exp,0.5554,1
1,2,Nonmatch,Self,exp,0.6989,1
1,2,Nonmatch,Self,exp,0.5202,1
1,2,Nonmatch,Self,exp,0.6478,-1
1,2,Nonmatch,Self,exp,0.949,1
1,2,Nonmatch,Self,exp,0.8836,-1
